Title,House_address,Area,House_layout,Rent
合租·恒森自在城 5居室 南卧,花溪区,6.00㎡,5室1厅2卫,720 元/月
,,,,
整租·市北巷水电九局 3室1厅 南,云岩区,75.00㎡,3室1厅1卫,1200 元/月
,,,,
合租·碧桂园西南上城 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,640 元/月
,,,,
整租·群升大智汇思源郡 3室2厅 东南/南,花溪区,92.00㎡,3室2厅2卫,1500 元/月
,,,,
合租·金龙国际花园 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,747 元/月
,,,,
整租·绿地伊顿公馆 2室1厅 东南,白云区,82.00㎡,2室1厅1卫,1400 元/月
,,,,
合租·恒大滨河左岸 4居室 南卧,观山湖区,8.00㎡,4室1厅2卫,720 元/月
,,,,
整租·保利温泉新城四期 3室2厅 南,乌当区,122.00㎡,3室2厅2卫,2300 元/月
,,,,
合租·碧桂园观山府 5居室 南卧,观山湖区,9.00㎡,5室1厅2卫,640 元/月
,,,,
整租·中央国际书香里 3室2厅 西,云岩区,114.00㎡,3室2厅2卫,2500 元/月
,,,,
合租·龙耀苑 4居室 南卧,观山湖区,12.00㎡,4室1厅2卫,720 元/月
,,,,
整租·商房高第 6室2厅 复式 东南,观山湖区,293.00㎡,6室2厅4卫,5000 元/月
,,,,
合租·全林国际广场 5居室 南卧,南明区,8.00㎡,5室1厅2卫,720 元/月
,,,,
整租·中天花园樱花园 3室2厅 南/北,云岩区,94.83㎡,3室2厅1卫,1600 元/月
,,,,
合租·盛世明珠 4居室 南卧,云岩区,14.00㎡,4室1厅3卫,1170 元/月
,,,,
整租·美的林城时代南区 3室2厅 东南,观山湖区,111.40㎡,3室2厅1卫,2500 元/月
,,,,
整租·龙湖揽境 3室2厅 南,云岩区,99.00㎡,3室2厅2卫,2000 元/月
,,,,
整租·碧桂园和泰府 4室2厅 南,观山湖区,142.00㎡,4室2厅2卫,2400 元/月
,,,,
合租·碧园花城 4居室 南卧,花溪区,12.00㎡,4室1厅2卫,666 元/月
,,,,
整租·金阳乾图中心广场 6室3厅 西,观山湖区,198.00㎡,6室3厅2卫,3500 元/月
,,,,
整租·云凯熙园 2室2厅 东,花溪区,102.00㎡,2室2厅1卫,2300 元/月
,,,,
整租·铂悦府 6室1厅 南/北,南明区,197.86㎡,6室1厅2卫,6000 元/月
,,,,
合租·碧波苑 5居室 南卧,观山湖区,10.00㎡,5室2厅2卫,720 元/月
,,,,
整租·碧潭园珑玥 3室2厅 南,观山湖区,85.00㎡,3室2厅1卫,2400 元/月
,,,,
合租·华颐春天 5居室 南卧,白云区,8.00㎡,5室1厅2卫,640 元/月
,,,,
整租·永实·御湖尚城 3室2厅 南/北,白云区,86.94㎡,3室2厅1卫,1800 元/月
,,,,
合租·华颐蓝天 5居室 东南卧,白云区,9.00㎡,5室2厅2卫,584 元/月
,,,,
整租·万科城E区 3室2厅 南,云岩区,85.00㎡,3室2厅1卫,1800 元/月
,,,,
合租·碧桂园西南上城 5居室 南卧,观山湖区,9.00㎡,5室1厅2卫,640 元/月
,,,,
整租·北新区路146号 3室1厅 东南,云岩区,94.00㎡,3室1厅1卫,1600 元/月
,,,,
合租·丽阳天下B区 4居室 南卧,观山湖区,11.00㎡,4室0厅2卫,702 元/月
,,,,
整租·贵阳恒大帝景 2室1厅 南,云岩区,85.00㎡,2室1厅1卫,1600 元/月
,,,,
合租·丽阳天下B区 4居室 南卧,观山湖区,11.00㎡,4室0厅2卫,702 元/月
,,,,
整租·北新区路146号 3室1厅 东南,云岩区,94.00㎡,3室1厅1卫,1600 元/月
,,,,
合租·帝璟佳苑 4居室 南卧,白云区,9.00㎡,4室1厅2卫,600 元/月
,,,,
整租·长城小区 5室3厅 南,南明区,200.00㎡,5室3厅2卫,2300 元/月
,,,,
合租·碧波苑 5居室 南卧,观山湖区,10.00㎡,5室2厅2卫,702 元/月
,,,,
整租·欣歆园 4室2厅 南,云岩区,136.80㎡,4室2厅2卫,1800 元/月
,,,,
合租·碧潭园D区 5居室 南卧,观山湖区,13.00㎡,5室1厅2卫,1125 元/月
,,,,
整租·国际城F组团 1室1厅 东南,南明区,51.00㎡,1室1厅1卫,1200 元/月
,,,,
合租·工会大厦 5居室 南卧,南明区,8.00㎡,5室1厅2卫,702 元/月
,,,,
整租·华润悦府F区 1室1厅 南,观山湖区,45.00㎡,1室1厅1卫,1500 元/月
,,,,
合租·明诚景怡苑 5居室 南卧,观山湖区,14.00㎡,5室1厅2卫,1080 元/月
,,,,
整租·恒大滨河左岸 3室2厅 南,观山湖区,116.00㎡,3室2厅2卫,3600 元/月
,,,,
合租·碧波苑 5居室 南卧,观山湖区,8.00㎡,5室2厅2卫,720 元/月
,,,,
整租·云城中心 1室1厅 LOFT 东南,白云区,48.00㎡,1室1厅2卫,1000 元/月
,,,,
整租·白晶谷38组团 4室2厅 南,贵州双龙航空港经济区,125.00㎡,4室2厅2卫,2300 元/月
,,,,
整租·花果园L2区 2室1厅 东南,南明区,78.00㎡,2室1厅1卫,1700 元/月
,,,,
合租·心美TWINS·国际 4居室 南卧,白云区,9.00㎡,4室2厅1卫,624 元/月
,,,,
整租·龙祥大厦 2室1厅 南,云岩区,85.00㎡,2室1厅0卫,1200 元/月
,,,,
整租·香樟苑 3室1厅 东南,白云区,98.00㎡,3室1厅1卫,1500 元/月
,,,,
整租·北新巷33号 2室1厅 东,云岩区,55.00㎡,2室1厅1卫,1200 元/月
,,,,
合租·金龙国际花园 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,720 元/月
,,,,
整租·金阳新世界翰临境 3室1厅 东南,观山湖区,78.00㎡,3室1厅1卫,2100 元/月
,,,,
合租·恒大金阳新世界珑誉 4居室,白云区,12.92㎡,4室1厅2卫,1125 元/月
,,,,
整租·花果园S1区 3室2厅 东南,南明区,106.00㎡,3室2厅2卫,2200 元/月
,,,,
合租·明诚景怡苑 4居室 南卧,观山湖区,12.00㎡,4室1厅2卫,630 元/月
,,,,
整租·金宇紫林广场 3室2厅 东南,云岩区,140.00㎡,3室2厅2卫,3800 元/月
,,,,
合租·全林国际广场 5居室 南卧,南明区,8.00㎡,5室1厅2卫,720 元/月
,,,,
整租·花果园V区 2室1厅 南/北,南明区,61.00㎡,2室1厅1卫,2000 元/月
,,,,
合租·盛世明珠 4居室 南卧,云岩区,14.00㎡,4室1厅3卫,1170 元/月
,,,,
整租·天然居 3室1厅 东南,云岩区,97.00㎡,3室1厅1卫,1600 元/月
,,,,
合租·工会大厦 5居室 南卧,南明区,8.00㎡,5室1厅2卫,702 元/月
,,,,
整租·西南上城博士府 4室2厅 东南,观山湖区,127.00㎡,4室2厅2卫,2100 元/月
,,,,
合租·明诚景怡苑 5居室 南卧,观山湖区,14.00㎡,5室1厅2卫,1080 元/月
,,,,
整租·曦阳山庄 3室2厅 东南,云岩区,103.00㎡,3室2厅2卫,1300 元/月
,,,,
合租·碧波苑 5居室 南卧,观山湖区,8.00㎡,5室2厅2卫,720 元/月
,,,,
整租·花果园R2区 3室1厅 东南,南明区,109.00㎡,3室1厅1卫,2300 元/月
,,,,
合租·心美TWINS·国际 4居室 南卧,白云区,9.00㎡,4室2厅1卫,624 元/月
,,,,
整租·天然居B区 3室2厅 南,云岩区,105.00㎡,3室2厅2卫,1800 元/月
,,,,
合租·金龙国际花园 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,720 元/月
,,,,
整租·恒大滨河左岸 1室1厅 复式 南/北,观山湖区,46.00㎡,1室1厅1卫,1500 元/月
,,,,
合租·华颐蓝天 4居室 南卧,白云区,17.00㎡,4室0厅1卫,960 元/月
,,,,
整租·宝山北路368号 2室2厅 东南,云岩区,85.00㎡,2室2厅1卫,2000 元/月
,,,,
合租·万科新都荟 5居室 南卧,云岩区,15.00㎡,5室1厅2卫,1062 元/月
,,,,
整租·太阳谷社区 1室1厅 东南,贵州双龙航空港经济区,66.00㎡,1室1厅1卫,1200 元/月
,,,,
合租·中天会展城A区 2居室 南卧,观山湖区,20.00㎡,2室1厅1卫,800 元/月
,,,,
整租·书香苑 3室2厅 东南/南,观山湖区,125.00㎡,3室2厅2卫,2500 元/月
,,,,
合租·中天会展城A区 5居室 南卧,观山湖区,8.00㎡,5室1厅2卫,684 元/月
,,,,
整租·贵阳融创城 4室2厅 东,花溪区,118.00㎡,4室2厅2卫,2300 元/月
,,,,
整租·中天花园峰景时代 3室2厅 东南,云岩区,120.00㎡,3室2厅2卫,1800 元/月
,,,,
整租·云上·九州 3室2厅 南,云岩区,105.90㎡,3室2厅2卫,2300 元/月
,,,,
合租·中天铭廷 5居室 南卧,观山湖区,10.00㎡,5室1厅2卫,720 元/月
,,,,
整租·瑞和家园 4室2厅 跃层 东南,花溪区,160.00㎡,4室2厅2卫,2100 元/月
,,,,
合租·心美TWINS·国际 4居室 西南卧,白云区,20.00㎡,4室2厅2卫,960 元/月
,,,,
整租·未来方舟D17组团 2室2厅 东南,云岩区,87.00㎡,2室2厅1卫,2600 元/月
,,,,
合租·观府壹号二组团 4居室 南卧,观山湖区,9.00㎡,4室1厅1卫,720 元/月
,,,,
整租·世纪园 3室2厅 西,云岩区,140.00㎡,3室2厅2卫,1500 元/月
,,,,
合租·中天会展城A区 4居室 南卧,观山湖区,9.00㎡,4室2厅2卫,720 元/月
,,,,
整租·首钢贵州之光光晟组团 1室1厅 西南,南明区,35.00㎡,1室1厅1卫,1400 元/月
,,,,
整租·书香门第 3室2厅 东南,云岩区,103.00㎡,3室2厅1卫,1900 元/月
,,,,
整租·优品道·优品城邦 4室2厅 西南,白云区,109.00㎡,4室2厅1卫,2000 元/月
,,,,
合租·枫林 4居室 南卧,云岩区,10.00㎡,4室1厅1卫,612 元/月
,,,,
整租·水岸金都 3室2厅 南,南明区,164.00㎡,3室2厅2卫,3400 元/月
,,,,
合租·碧桂园西南上城 5居室 南卧,观山湖区,10.00㎡,5室1厅1卫,600 元/月
,,,,
整租·花果园U区 3室1厅 东南,南明区,100.00㎡,3室1厅2卫,1800 元/月
,,,,
合租·乌江怡苑 4居室 东南卧,云岩区,15.00㎡,4室1厅2卫,1107 元/月
,,,,
整租·贵阳恒大帝景 4室2厅 北,云岩区,136.00㎡,4室2厅2卫,2600 元/月
,,,,
合租·中天会展城A区 4居室 南卧,观山湖区,9.00㎡,4室2厅2卫,720 元/月
,,,,
整租·花果园S1区 3室2厅 东/东南,南明区,110.00㎡,3室2厅2卫,2000 元/月
,,,,
整租·万科翡翠天骄 4室2厅 东南,观山湖区,138.00㎡,4室2厅2卫,3500 元/月
,,,,
整租·恒生大厦 4室2厅 东南,云岩区,175.80㎡,4室2厅2卫,3800 元/月
,,,,
整租·天然居 2室1厅 东南,云岩区,86.00㎡,2室1厅1卫,900 元/月
,,,,
整租·花果园R2区 3室1厅 南,南明区,100.70㎡,3室1厅2卫,1950 元/月
,,,,
整租·中天会展城A区 3室2厅 南/北,观山湖区,120.00㎡,3室2厅2卫,4500 元/月
,,,,
整租·熙山郡 2室2厅 西北,云岩区,80.40㎡,2室2厅1卫,1700 元/月
,,,,
整租·宝安花园 2室1厅 西南,南明区,90.00㎡,2室1厅1卫,860 元/月
,,,,
整租·碧桂园花溪首府 4室2厅 南,花溪区,138.00㎡,4室2厅2卫,1000 元/月
,,,,
整租·富力新天地 2室1厅 南/北,观山湖区,48.00㎡,2室1厅1卫,1800 元/月
,,,,
整租·缇香郡 4室2厅 复式 南,云岩区,120.00㎡,4室2厅2卫,6000 元/月
,,,,
整租·华峰一区 3室1厅 南,花溪区,93.00㎡,3室1厅1卫,1300 元/月
,,,,
整租·国电金海域 5室1厅 南/北,观山湖区,286.00㎡,5室1厅3卫,19500 元/月
,,,,
整租·金元国际新城南区 3室2厅 西,观山湖区,135.00㎡,3室2厅2卫,5500 元/月
,,,,
整租·锦绣家园 3室1厅 东/东南/西南,南明区,108.00㎡,3室1厅1卫,1500 元/月
,,,,
整租·玉山碧苑 1室1厅 南,南明区,44.48㎡,1室1厅1卫,800 元/月
,,,,
整租·北京路205号院 2室2厅 东南,云岩区,75.00㎡,2室2厅1卫,2300 元/月
,,,,
整租·金世旗楠苑 3室2厅 南/北,花溪区,120.00㎡,3室2厅2卫,1400 元/月
,,,,
整租·颐华府 2室1厅 东南,乌当区,95.00㎡,2室1厅1卫,2500 元/月
,,,,
整租·美的云熙府 3室2厅 南,云岩区,99.85㎡,3室2厅2卫,1200 元/月
,,,,
整租·世纪城龙嘉苑 4室2厅 南,观山湖区,198.00㎡,4室2厅2卫,3200 元/月
,,,,
整租·塔山北街 3室1厅 南,白云区,70.00㎡,3室1厅1卫,1200 元/月
,,,,
整租·世纪城龙嘉苑 4室2厅 南,观山湖区,198.00㎡,4室2厅2卫,3200 元/月
,,,,
整租·未来方舟F6组团 2室2厅 南,云岩区,92.00㎡,2室2厅1卫,1800 元/月
,,,,
整租·花果园W1区 2室2厅 东南/南,南明区,76.00㎡,2室2厅1卫,1300 元/月
,,,,
整租·西南上城天悦府 4室2厅 南/北,观山湖区,144.00㎡,4室2厅2卫,2700 元/月
,,,,
整租·龙宇苑 3室2厅 南,观山湖区,116.00㎡,3室2厅2卫,1800 元/月
,,,,
整租·塔山北街 3室1厅 南,白云区,70.00㎡,3室1厅1卫,1200 元/月
,,,,
整租·龙城壹号 3室2厅 南,观山湖区,116.00㎡,3室2厅2卫,1800 元/月
,,,,
整租·金龙国际花园 5室2厅 南,观山湖区,200.00㎡,5室2厅2卫,6000 元/月
,,,,
整租·龙宇苑 3室2厅 南,观山湖区,116.00㎡,3室2厅2卫,2100 元/月
,,,,
整租·富水南路188号 4室2厅 东南,南明区,142.07㎡,4室2厅2卫,3500 元/月
,,,,
整租·恒大中央广场 2室2厅 南,观山湖区,83.00㎡,2室2厅1卫,2500 元/月
,,,,
整租·二桥巷3号 2室1厅 东南,云岩区,74.00㎡,2室1厅1卫,1300 元/月
,,,,
整租·绿景家园 3室2厅 东南,南明区,122.00㎡,3室2厅1卫,1500 元/月
,,,,
整租·金华南园A区 4室2厅 南/北,观山湖区,175.51㎡,4室2厅3卫,4200 元/月
,,,,
整租·当代拾光里 3室2厅 西南,清镇市,85.00㎡,3室2厅1卫,1500 元/月
,,,,
整租·金狮小区百花组团 2室1厅 东南,云岩区,75.00㎡,2室1厅1卫,1200 元/月
,,,,
整租·险峰苑 3室2厅 东,花溪区,150.00㎡,3室2厅1卫,1200 元/月
,,,,
整租·广信四季家园 3室2厅 南,云岩区,129.00㎡,3室2厅2卫,1000 元/月
,,,,
整租·飞山小区 2室2厅 东南,云岩区,120.00㎡,2室2厅1卫,2700 元/月
,,,,
整租·恒大金阳新世界 3室1厅 西南,观山湖区,128.00㎡,3室1厅2卫,2000 元/月
,,,,
整租·乌当后所新村 3室2厅 东南,乌当区,129.00㎡,3室2厅2卫,1500 元/月
,,,,
整租·成黔小区 3室1厅 北/东北,南明区,100.00㎡,3室1厅0卫,5000 元/月
,,,,
整租·碧桂园贵安1号星月湾 4室2厅 南,花溪区,140.00㎡,4室2厅2卫,1200 元/月
,,,,
整租·贵阳融创城 3室2厅 东南,花溪区,95.00㎡,3室2厅2卫,900 元/月
,,,,
整租·沙河花园三期西区 4室2厅 东南,云岩区,141.00㎡,4室2厅1卫,1300 元/月
,,,,
整租·祥厚居 1室1厅 南,云岩区,50.00㎡,1室1厅1卫,1200 元/月
,,,,
整租·富水南路124号院 2室1厅 东南,南明区,60.00㎡,2室1厅1卫,1000 元/月
,,,,
整租·恒大中央公园 1室1厅 东南,观山湖区,57.00㎡,1室1厅1卫,1300 元/月
,,,,
整租·碧龙花园 2室2厅 东/南,南明区,96.00㎡,2室2厅1卫,1500 元/月
,,,,
整租·富水中路104号 1室1厅 东,云岩区,35.00㎡,1室1厅1卫,1200 元/月
,,,,
整租·中天未来方舟F10组团盛棠 3室2厅 南,云岩区,131.00㎡,3室2厅2卫,1000 元/月
,,,,
整租·碧桂园·印象花溪 3室2厅 南/北,花溪区,105.00㎡,3室2厅2卫,1600 元/月
,,,,
整租·文昌苑 3室2厅 东南,南明区,150.00㎡,3室2厅2卫,3100 元/月
,,,,
整租·中天花园阳光玉兰园 3室2厅 南,云岩区,138.44㎡,3室2厅2卫,2800 元/月
,,,,
整租·美的置业广场 1室1厅 东,观山湖区,49.95㎡,1室1厅1卫,1800 元/月
,,,,
整租·青山小区 2室2厅 东南,南明区,70.00㎡,2室2厅1卫,1200 元/月
,,,,
整租·中大国际广场 1室0厅 南,云岩区,50.00㎡,1室0厅1卫,1800 元/月
,,,,
整租·西南上城紫御府 1室1厅 南,观山湖区,40.00㎡,1室1厅1卫,1300 元/月
,,,,
整租·北大资源梦想城 2室1厅 南,观山湖区,91.00㎡,2室1厅1卫,1800 元/月
,,,,
整租·平安巷39号 2室1厅 西南,云岩区,70.00㎡,2室1厅1卫,800 元/月
,,,,
整租·南岳路21号 2室1厅 南,南明区,55.00㎡,2室1厅1卫,600 元/月
,,,,
整租·中天铭廷二期 4室2厅 南,观山湖区,171.00㎡,4室2厅2卫,8000 元/月
,,,,
整租·营盘路71号 1室1厅 东南,南明区,66.00㎡,1室1厅1卫,1600 元/月
,,,,
整租·溪谷 3室2厅 东南,花溪区,92.00㎡,3室2厅1卫,1500 元/月
,,,,
整租·贵阳国际中心1号 1室1厅 东南,南明区,102.79㎡,1室1厅0卫,4000 元/月
,,,,
整租·太阳谷社区 3室2厅 南/北,贵州双龙航空港经济区,117.00㎡,3室2厅2卫,1800 元/月
,,,,
整租·金阳新世界山临境 4室2厅 东,观山湖区,176.00㎡,4室2厅2卫,4500 元/月
,,,,
整租·龙福苑 3室2厅 南,观山湖区,132.00㎡,3室2厅2卫,2500 元/月
,,,,
整租·馨月楼 3室2厅 东南,南明区,126.83㎡,3室2厅2卫,3300 元/月
,,,,
整租·未来方舟D13组团 3室1厅 南,云岩区,200.00㎡,3室1厅1卫,4600 元/月
,,,,
整租·馨月楼 3室2厅 东南,南明区,126.83㎡,3室2厅2卫,3300 元/月
,,,,
整租·香港城 4室2厅 东南,花溪区,138.00㎡,4室2厅1卫,1600 元/月
,,,,
整租·恒大中央公园C区 3室2厅 南,观山湖区,106.92㎡,3室2厅1卫,3500 元/月
,,,,
整租·保利凤凰湾 1室1厅 北,南明区,38.20㎡,1室1厅1卫,960 元/月
,,,,
整租·保利凤凰湾 1室0厅 北,南明区,38.20㎡,1室0厅1卫,960 元/月
,,,,
整租·洛平新城 2室2厅 南/北,花溪区,76.00㎡,2室2厅1卫,1350 元/月
,,,,
整租·民生路18号 2室2厅 东南,云岩区,80.00㎡,2室2厅1卫,1500 元/月
,,,,
整租·美的林城时代南区 4室2厅 南,观山湖区,130.00㎡,4室2厅2卫,3600 元/月
,,,,
整租·吟峰苑 4室2厅 西南,云岩区,151.00㎡,4室2厅2卫,3200 元/月
,,,,
整租·首开紫郡 4室2厅 南,南明区,133.00㎡,4室2厅2卫,4500 元/月
,,,,
整租·碧桂园澜山府 2室2厅 南,云岩区,69.00㎡,2室2厅1卫,1800 元/月
,,,,
整租·北斗星大厦 3室1厅 东南,南明区,140.00㎡,3室1厅2卫,3000 元/月
,,,,
整租·金融城MAX 1室1厅 东南,观山湖区,45.00㎡,1室1厅1卫,1400 元/月
,,,,
整租·观水巷9号院 2室1厅 东南,南明区,71.38㎡,2室1厅1卫,1500 元/月
,,,,
整租·黔江机械厂 2室1厅 南,花溪区,54.41㎡,2室1厅1卫,900 元/月
,,,,
整租·兴隆誉峰 3室2厅 东南,云岩区,113.90㎡,3室2厅2卫,2800 元/月
,,,,
整租·碧桂园澜山府 3室2厅 南/北,云岩区,89.00㎡,3室2厅1卫,1300 元/月
,,,,
整租·美的国宾府 3室2厅 南/北,花溪区,128.00㎡,3室2厅2卫,1500 元/月
,,,,
整租·阳光花园(云岩区) 8室3厅 复式 南/北,云岩区,250.00㎡,8室3厅3卫,2500 元/月
,,,,
整租·金辉大厦 4室2厅 错层 东南/南,云岩区,161.00㎡,4室2厅2卫,3780 元/月
,,,,
整租·碧桂园观山府 4室2厅 南,观山湖区,144.00㎡,4室2厅2卫,2500 元/月
,,,,
整租·美的林城时代北区 3室1厅 西/北,观山湖区,99.00㎡,3室1厅2卫,5000 元/月
,,,,
整租·西南上城天悦府 5室2厅 南,观山湖区,200.00㎡,5室2厅3卫,3500 元/月
,,,,
整租·恒大中央公园C区 1室1厅 西,观山湖区,48.00㎡,1室1厅1卫,2600 元/月
,,,,
整租·碧园花城 3室2厅 南,花溪区,147.12㎡,3室2厅2卫,3600 元/月
,,,,
整租·未来方舟D11组团 1室1厅 南,云岩区,42.00㎡,1室1厅1卫,800 元/月
,,,,
整租·万科理想城C区 3室2厅 南/北,观山湖区,93.00㎡,3室2厅1卫,2100 元/月
,,,,
整租·名士大厦 3室2厅 东南,南明区,145.00㎡,3室2厅2卫,3300 元/月
,,,,
整租·西南上城紫御府 3室2厅 西南,观山湖区,107.00㎡,3室2厅2卫,2000 元/月
,,,,
整租·中央国际智苑 3室2厅 东,云岩区,87.00㎡,3室2厅1卫,1800 元/月
,,,,
整租·花果园E区 3室2厅 东南,南明区,100.00㎡,3室2厅2卫,2200 元/月
,,,,
整租·中兴世家 3室2厅 南,花溪区,90.00㎡,3室2厅1卫,900 元/月
,,,,
整租·龙锦苑 3室2厅 南,观山湖区,130.00㎡,3室2厅1卫,1900 元/月
,,,,
整租·金元国际新城南区 3室2厅 南,观山湖区,136.00㎡,3室2厅2卫,5500 元/月
,,,,
整租·银海嘉怡花园 2室1厅 东南,云岩区,82.00㎡,2室1厅1卫,1000 元/月
,,,,
